nome_campagna,prodotti_coinvolti,data_inizio,data_fine,budget
Saldi Invernali 2023,"SET PENTOLE COMPACT 2, CANDELA PROFUMATA MINIMAL, LIBRERIA VINTAGE, Tavolo Nordcio, Specchio iMnimal, PANTALONCINO COLORATO, pantaloncino estivo, VESTITO ELEGANTE, MACCHINA CAFFÈ INOX, pigiama comodo, T-SHIRT COLORATO, CANDELA PROFUMATA BOHO,  Pantalone Casual , tenda naturale, BLUSA CHIC,  Tappeto Naturale , Foulard Casual, BILANCIA DIGITALE INOX, Friggitrice ad aria Basic,    GIACCA ELEGANTE ",2023-01-07,2023-01-28,2910.73
Primavera Digitale 2023,"SOUNDBAR PORTABLE,   WEBCAM HD, PELLICOLA PROTETTIVA MAX, SPEAKER BLUETOOTH STUDIO, LAPTOP COMPACT, Speaker Bluetooth Surround,  Telecamera Surround , Cover Ultra",2023-04-05,2023-04-20,1518.36
Saldi Estivi 2023,"blusa chic, T-shirt Estivo,   giacca elegante,  Pantalone Casual , Torcia LED Compact,  Luci bici Compact , Manubri Premium 2,  Antifurto bici MTB , Patnaloncino Colorato,  Pigiama Comodo , Facsia cardio Pro, Corda per saltare Adjustable, Borsa bici Pro, maglietta sportivo, vestito elegante, Foulard Casual, MAGLIETTA BASIC, felpa casual,  Corda per saltare Adjustable 2 , Borraccia termica Pro2 ",2023-07-01,2023-07-21,3039.05
Black Friday 2023," Candela profumata Boho , libreria vintage, BORRACCIA TERMICA PRO 2, speaker bluetooth surround, CORDA PER SALTARE ADJUSTABLE 2, Pompa portatile Pro,  Antifurto bici MTB , FRIGGITRICE AD ARIA BASIC, CASCO BICI BASIC, Tneda Colorato, TENDA NATURALE, VASO ELEGANTE, COVER ULTRA, BORSA BICI PRO, TORCIA LED COMPACT, Tappetino yoga Pro, Specchio Vintage, BORRACCIA TERMICA COMPACT,  Pellicola protettiva Max , tappeto naturale, Comodino Classico, bastoncini trekking basic, CUFFIE STUDIO, SPEAKER BLUETOOTH STUDIO",2023-11-24,2023-11-30,5765.81
Promo Natale 2023,"VINILE EDIZIONE SPECIALE,  Kit fai da te Deluxe , Gioco da tavolo Collector, romanzo classico, ROSSETTO MATTE, Luci bici Compact, matita occhi matte, OLIO ESSENZIALE FAMILY, FONDOTINTA MATTE, FONDOTINTA CLASSIC,  Tisana benessere Family , Blu-rayC ollector,  Blu-ray Nuovo , borraccia termica pro 2,  Borraccia termica Waterproof , manubri premium  , EPILATORE BASIC 2,  Borsa bici Compact , Asciugacapelli Compact,  Kit fai da te Collector , ANTIFURTO BICI MTB, borsa bici basic  , Bastoncini trekking Bsaic, POMPA PORTATILE ROAD, POMPA PORTATILE PRO, EPILATORE BASIC, COLONNA SONORA EDIZIONE SPECIALE,   OLIO ESESNZIALE BASIC",2023-12-05,2023-12-24,6328.56
Saldi Invernali 2024,"Set pentoel Inox, Tappeto Naturale, T-shirt Colorato, SPECCHIO MINIMAL,  Specchio Vintage ,  Lampada da terra Vintage , TENDA COLORATO, Libreria iVntage, Macchina caffè Inox, Pigiama Comodo 2, Candela profumata Minimal,  Tavolo Nordico , vaso elegante, LEGGINGS SLIM, pantaloncino colorato, Tenda Naturale, Friggitrice ad aria Basic, FELPA COMODO, SPECCHIO VINTAGE,  Blusa Chic , T-SHIRT ESTIVO, canedla profumata elegante  ",2024-01-07,2024-01-28,4729.27
Primavera Digitale 2024,"speaker bluetooth surround, SSD ESTERNO PRO,  Speaker Bluetooth Studio , Laptop Compact, CAVO HDMI PORTABLE, pellicola protettiva air,  Cover Lite , Soundbar Portable, Pellicola protettiva Max, Cove rUltra, Smartphnoe Air",2024-04-05,2024-04-20,2395.78
Saldi Estivi 2024," Pantaloncino Colorato , vestito elegante, blusa chic, TORCIA LED COMPACT, TAPPETINO YOGA PRO, PANTALONCINO ESTIVO,  Gonna Basic , BORRACCIA TERMICA WATERPROOF, TENDA DA CAMPEGGIO BASIC, FOULARD BASIC,  borsa bici basic   , PANTALONE CASUAL, Borraccia termica Compact, Manubri Basic, T-SHIRT ESTIVO, MAGLIETTA SPORTIVO,    GIACCA ELEGANTE , GIACCA SLIM FIT, BORRACCIA TERMICA PRO, Fascia cardio Pro,  Pigiama Comodo 2 , foulard casual",2024-07-01,2024-07-21,5454.48
Black Friday 2024,"Comodino Classico, LUCI BICI COMPACT, TAPPETINO YOGA PRO, casco bici basic, vaso elegante, manubri premium  , Tenda Naturlae,  Specchio Vintage ,  Manubri Premium 2 , CUFFIE STUDIO, Torcai LED Compact, SPEAKER BLUETOOTH STUDIO, MOUSE WIRELESS, specchio vintage, tenda da campeggio basic, CORDA PER SALTARE ADJUSTABLE, SPECCHIO NORDICO, Auricolari Pro, macchina caffè inox, Tappeto Naturale,  Speaker Bluetooth Surround , FASCIA CARDIO PRO, Borraccia termica Pro 2, Tavolo Nordico, Borraccia termica Compact, Corda per saltare Adjustable 2,   WEBCAM HD, SOUNDBAR PORTABLE, antifurto bici mtb, COVER LITE, smartphone ultra, TENDA COLORATO, candela profumata boho",2024-11-24,2024-11-30,7797.89
Promo Natale 2024,"EPILATORE BASIC, Fondotinta Clasisc, BORRACCIA TERMICA PRO 2,  Borsa bici Compact , Borraccia termica rPo,  Fondotinta Matte , mascara classic, LIBRO PER BAMBINI ILLUSTRATO, BORRACCIA TERMICA COMPACT, BASTONCINI TREKKING BASIC, Spzazolino elettrico Compact, Mnaubri Premium 2, MANUBRI PREMIUM  , romanzo classico, Palette ombretti Long Lasting, puzzle family, TISANA BENESSERE FAMILY, blu-ray collector, Colonna sonora Edizione speciale, MATITA OCCHI LONG LASTING, KIT FAI DA TE DELUXE, borsa bici basic  , fascia cardio pro, Asciugacapelli Premium,  Matita occhi Matte ,  Pompa portatile Pro , CASCO BICI BASIC, VINILE EDIZIONE SPECIALE,  Rossetto Matte ,  Carte collezionabili Deluxe 2 , BORRACCIA TERMICA WATERPROOF, SAGGIO ILLUSTRATO,  Asciugacapelli Compact ",2024-12-05,2024-12-24,8324.51
Saldi Invernali 2025,"T-SHIRT COLORATO, COMODINO CLASSICO,  Specchio Vintage , specchio minimal, Maglietta Sportivo, Sedia Minimal, CANDELA PROFUMATA ELEGANTE  ,  Macchina caffè Inox ,  Tenda Colorato , BILANCIA DIGITALE INOX, specchio nordico, gonna basic, FOULARD CASUAL, FOULARD BASIC, FELPA COMODO, CANDELA PROFUMATA MINIMAL, LAMPADA DA TERRA VINTAGE",2025-01-07,2025-01-28,4674.28
