product_code,nome_prodotto,categoria,sottocategoria,prezzo_listino,costo
303002,Tappeto Naturale,Casa & Arredamento,Decorazione,160.63,70.81
301001,Specchio Vintage,Casa & Arredamento,Arredo,92.93,46.95
103006,Speaker Bluetooth Studio,Elettronica,Audio & Video,87.81,56.35
202005,Vestito Elegante,Abbigliamento,Donna,126.38,49.48
602002,Colonna sonora Edizione speciale,Libri & Media,Film & Musica,13.71,6.38
303003,Tenda Naturale,Casa & Arredamento,Decorazione,35.0,16.95
402001,Borraccia termica Pro,Sport & Tempo libero,Outdoor,17.4,6.69
503007,Integratore vitaminico Premium,bellezza & salute,Benessere,25.13,7.97
403006,Antifurto bici MTB,Sport & Tempo libero,ciclismo,37.26,17.55
201006,Maglietta Sportivo,Abbigliamento,Uomo,17.04,6.57
502004,Fondotinta Classic,Bellezza & Salute,Make-up,15.76,5.08
202001,Leggings Slim,Abbigliamento,Donna,27.45,8.85
401004,Manubri Basic,Sport & Tempo libero,Fitness,58.47,23.04
101005,Smartphone Ultra,Elettronica,Smartphone & Accessori,728.78,443.69
502006,Matita occhi Matte,Bellezza & Salute,Make-up,12.61,4.42
503002,Integratore vitaminico Basic,Bellezza & Salute,Benessere,"15,95",4.66
203004,Pigiama Comodo,Abbigliamento,Bambino,22.98,6.27
403005,Casco bici Basic,Sport & Tempo libero,Ciclismo,"66,68",33.1
502002,Fondotinta Matte,Bellezza & Salute,Make-up,20.93,5.68
501001,Asciugacapelli Premium,Bellezza & Salute,cura persona,42.7,16.59
103005,Soundbar Portable,Elettronica,Audio & Video,210.09,136.58
102003,SSD esterno Pro,Elettronica,Informatica,97.15,69.4
603003,Peluche Kids,Libri & Media,Giochi & Hobby,20.64,11.94
102004,SSD esterno Compact,Elettronica,Informatica,97.09,60.2
603008,Peluche Collector,LIBRI & MEDIA,Giochi & Hobby,12.62,7.35
301006,Comodino Classico,Casa & Arredamento,Arredo,68.34,28.71
402002,Torcia LED Compact,Sport & Tempo libero,Outdoor,29.84,14.54
403003,Borsa bici Compact,Sport & Tempo libero,Ciclismo,34.87,13.62
301008,Specchio Minimal,Casa & Arredamento,Arredo,100.64,43.31
101001,Smartphone Pro,Elettronica,Smartphone & Accessori,874.89,600.15
102005,  WEBCAM HD,Elettronica,Informatica,57.94,37.57
301003,Specchio Nordico,Casa & Arredamento,Arredo,75.06,33.41
302004,Bilancia digitale Inox,Casa & Arredamento,Cucina,20.63,10.74
201004,Maglietta Basic,Abbigliamento,Uomo,19.83,7.18
401007,manubri premium  ,Sport & Tempo libero,Fitness,61.33,29.55
601008,Libro per bambini Illustrato 2,Libri & Media,Libri,16.99,9.94
501006,Rasoio elettrico Basic,Bellezza & Salute,Cura persona,80.09,26.32
103002,Cavo HDMI Portable,Elettronica,Audio & Video,12.24,8.41
403002,Borsa bici Pro,Sport & Tempo libero,Ciclismo,31.63,13.64
201002,Pantalone Casual,Abbigliamento,Uomo,57.78,16.94
301005,Tavolo Nordico,Casa & Arredamento,Arredo,213.57,114.16
401005,Fascia cardio Pro,Sport & Tempo libero,FITNESS,57.41,20.47
502005,Palette ombretti Long Lasting,Bellezza & Salute,Make-up,28.38,9.91
202004,Blusa Chic,Abbigliamento,Donna,33.23,10.95
401002,Corda per saltare Adjustable 2,Sport & Tempo libero,Fitness,8.96,3.89
603006,Carte collezionabili Deluxe 2,Libri & Media,Giochi & Hobby,23.56,14.03
102002,Mouse Wireless,Elettronica,Informatica,46.84,29.32
203001,T-shirt Colorato,Abbigliamento,Bambino,"11,16",3.74
401006,Tappetino yoga Pro,Sport & Tempo libero,Fitness,22.31,10.55
201005,  GIACCA ELEGANTE,Abbigliamento,Uomo,116.82,38.88
602005,Blu-ray Nuovo,Libri & Media,Film & Musica,21.16,11.5
202002,Foulard Basic,Abbigliamento,Donna,19.55,5.92
502007,Mascara Classic,Bellezza & Salute,Make-up,14.55,5.37
301900,Specchio Vintage,Casa & Arredamento,Arredo,92.93,46.95
302006,Friggitrice ad aria Basic,Casa & Arredamento,Cucina,132.4,63.4
101006,Pellicola protettiva Air,Elettronica,Smartphone & Accessori,8.57,6.22
401008,Manubri Premium 2,Sport & Tempo libero,Fitness,52.23,24.17
402005,Borraccia termica Pro 2,Sport & Tempo libero,Outdoor,30.23,13.29
203007,Pigiama Comodo 2,Abbigliamento,Bambino,22.91,7.57
302002,Set pentole Compact,Casa & Arredamento,Cucina,84.83,43.18
203003,Pantaloncino Estivo,Abbigliamento,Bambino,13.39,3.93
103003,Cuffie Studio,Elettronica,Audio & Video,130.55,85.44
603007,Puzzle Family,Libri & Media,Giochi & Hobby,13.48,7.7
203002,T-shirt Estivo,Abbigliamento,Bambino,17.86,5.04
501002,Epilatore Basic,Bellezza & Salute,Cura persona,48.11,15.34
101008,Auricolari Pro,Elettronica,Smartphone & Accessori,148.67,107.83
301004,Lampada da terra Vintage,Casa & Arredamento,Arredo,86.42,39.34
403001,borsa bici basic  ,Sport & Tempo libero,CICLISMO,34.83,16.68
503006,Olio essenziale Family,Bellezza & Salute,Benessere,13.96,5.38
601005,Romanzo Tascabile,Libri & Media,Libri,8.99,5.15
102001,Laptop Compact,Elettronica,Informatica,949.88,583.26
102006,Webcam Wireless,Elettronica,Informatica,33.8,22.21
502003,Matita occhi Long Lasting,Bellezza & Salute,Make-up,10.71,3.4
101004,Cover Ultra,Elettronica,Smartphone & Accessori,25.26,18.4
103004,Telecamera Surround,Elettronica,Audio & Video,167.17,107.03
203006,Pantaloncino Colorato,Abbigliamento,Bambino,13.04,3.92
402004,Borraccia termica Waterproof,Sport & Tempo libero,Outdoor,20.26,7.25
503003,Maschera relax Premium,Bellezza & Salute,Benessere,10.22,3.29
101007,Smartphone Air,Elettronica,Smartphone & Accessori,1146.78,847.88
403008,Pompa portatile Pro,Sport & Tempo libero,Ciclismo,15.96,7.24
601007,Libro per bambini Illustrato,Libri & Media,Libri,11.07,5.54
602001,Blu-ray Deluxe,Libri & Media,Film & Musica,"15,15",7.66
303001,Candela profumata Minimal,Casa & Arredamento,Decorazione,18.81,9.05
302003,Set pentole Inox,Casa & Arredamento,Cucina,142.93,77.13
603001,Carte collezionabili Deluxe,Libri & Media,Giochi & Hobby,16.61,9.47
301007,Libreria Vintage,Casa & Arredamento,Arredo,186.34,92.26
601003,Manuale tecnico Bestseller,Libri & Media,Libri,33.92,16.36
401001,Corda per saltare Adjustable,Sport & Tempo libero,Fitness,11.27,5.45
303900,Tappeto Naturale,Casa & Arredamento,Decorazione,160.63,70.81
403004,Luci bici Compact,Sport & Tempo libero,Ciclismo,13.82,5.43
603004,Kit fai da te Collector,Libri & Media,Giochi & Hobby,14.4,7.68
501008,Rasoio elettrico Pro,Bellezza & Salute,Cura persona,89.75,23.01
301002,Sedia Minimal,Casa & Arredamento,Arredo,109.11,59.58
303005,Candela profumata Boho,Casa & Arredamento,Decorazione,15.79,8.43
501007,Asciugacapelli Travel,Bellezza & Salute,Cura persona,53.55,21.34
302001,Macchina caffè Inox,Casa & Arredamento,Cucina,193.16,88.62
501005,Epilatore Basic 2,Bellezza & Salute,Cura persona,47.77,14.18
601006,Romanzo Classico,Libri & Media,libri,13.09,7.64
303004,candela profumata elegante  ,Casa & Arredamento,Decorazione,13.45,6.81
402007,Tenda da campeggio Basic,Sport & Tempo libero,Outdoor,223.28,96.77
202006,Foulard Casual,Abbigliamento,Donna,22.64,8.73
603005,Gioco da tavolo Collector,Libri & Media,Giochi & Hobby,39.47,22.44
303006,Tenda Colorato,Casa & Arredamento,Decorazione,"55,1",30.14
401003,Elastici fitness Home,SPORT & TEMPO LIBERO,Fitness,11.12,3.99
601004,Saggio Illustrato,Libri & Media,Libri,"16,05",9.16
203005,Felpa Comodo,Abbigliamento,Bambino,16.7,5.74
202003,Gonna Basic,Abbigliamento,Donna,40.14,13.12
601002,Manuale tecnico Classico,Libri & Media,Libri,33.23,17.19
602004,Blu-ray Collector,Libri & Media,Film & Musica,"11,87",6.47
101002,Pellicola protettiva Max,Elettronica,Smartphone & Accessori,8.77,5.67
302005,Set pentole Compact 2,Casa & Arredamento,Cucina,111.29,54.51
201001,Giacca Slim Fit,Abbigliamento,Uomo,107.39,30.57
101003,Cover Lite,Elettronica,Smartphone & Accessori,20.3,13.59
201003,Felpa Casual,Abbigliamento,Uomo,36.6,13.32
503005,Tisana benessere Family,Bellezza & Salute,Benessere,7.43,2.06
503001,Maschera relax Bio,bellezza & salute,Benessere,10.71,3.04
602003,Vinile Edizione speciale,Libri & Media,Film & Musica,24.77,12.93
501004,Asciugacapelli Compact,Bellezza & Salute,Cura persona,56.74,22.35
602006,Vinile Collector,Libri & Media,Film & Musica,30.16,15.05
402006,Bastoncini trekking Basic,Sport & Tempo libero,Outdoor,17.7,7.24
501003,Spazzolino elettrico Compact,Bellezza & Salute,Cura persona,54.27,13.98
403007,Pompa portatile Road,Sport & Tempo libero,Ciclismo,26.3,9.53
603002,Kit fai da te Deluxe,Libri & Media,Giochi & Hobby,16.29,8.59
103900,Speaker Bluetooth Studio,Elettronica,Audio & Video,87.81,56.35
103007,Soundbar Wireless,elettronica,Audio & Video,380.3,275.43
303007,Vaso Elegante,Casa & Arredamento,Decorazione,28.22,12.58
402003,Borraccia termica Compact,Sport & Tempo libero,Outdoor,30.03,11.96
601001,  FUMETTO TASCABILE,LIBRI & MEDIA,Libri,14.99,8.29
103001,Speaker Bluetooth Surround,Elettronica,AUDIO & VIDEO,81.21,54.4
502001,Rossetto Matte,Bellezza & Salute,Make-up,14.1,3.55
503004,  OLIO ESSENZIALE BASIC,Bellezza & Salute,Benessere,13.34,3.7
